ID,PCP_SS_HE,PCP_SS_ST,PCP_SS_CO,PCP_SA_BU,PCP_SA_EX,PCP_SA_IN
Seq_7040,0.495,0.255,0.25,0.486,0.268,0.209
Seq_7041,0.469,0.246,0.285,0.45,0.3,0.233
Seq_7042,0.379,0.256,0.366,0.396,0.286,0.335
Seq_7043,0.426,0.315,0.259,0.457,0.302,0.234
Seq_7044,0.421,0.28,0.299,0.388,0.352,0.263
Seq_7045,0.362,0.339,0.299,0.365,0.265,0.394
Seq_7046,0.377,0.356,0.267,0.601,0.192,0.228
Seq_7047,0.398,0.286,0.316,0.439,0.341,0.221
Seq_7048,0.416,0.3,0.284,0.51,0.26,0.243
Seq_7049,0.425,0.3,0.275,0.439,0.269,0.295
Seq_7050,0.448,0.379,0.172,0.552,0.19,0.241
Seq_7051,0.446,0.282,0.271,0.441,0.364,0.209
Seq_7052,0.42,0.282,0.299,0.413,0.361,0.221
Seq_7053,0.418,0.28,0.302,0.414,0.362,0.222
Seq_7054,0.457,0.271,0.272,0.447,0.326,0.236
Seq_7055,0.423,0.283,0.293,0.42,0.326,0.3
Seq_7056,0.421,0.303,0.276,0.421,0.4,0.166
Seq_7057,0.42,0.298,0.282,0.45,0.323,0.235
Seq_7058,0.409,0.284,0.306,0.448,0.323,0.253
Seq_7059,0.423,0.248,0.329,0.445,0.367,0.251
Seq_7060,0.391,0.311,0.298,0.403,0.333,0.276
Seq_7061,0.436,0.265,0.298,0.492,0.293,0.193
Seq_7062,0.419,0.315,0.267,0.478,0.337,0.191
Seq_7063,0.43,0.318,0.251,0.4,0.331,0.254
Seq_7064,0.444,0.258,0.298,0.385,0.414,0.232
Seq_7065,0.461,0.292,0.247,0.466,0.332,0.22
Seq_7066,0.405,0.282,0.313,0.433,0.325,0.242
Seq_7067,0.438,0.31,0.253,0.474,0.315,0.205
Seq_7068,0.436,0.316,0.248,0.429,0.301,0.256
Seq_7069,0.347,0.306,0.347,0.447,0.347,0.188
Seq_7070,0.384,0.307,0.31,0.405,0.372,0.233
Seq_7071,0.31,0.382,0.307,0.42,0.317,0.31
Seq_7072,0.438,0.267,0.295,0.549,0.267,0.174
Seq_7073,0.474,0.198,0.328,0.457,0.293,0.276
Seq_7074,0.431,0.286,0.284,0.432,0.325,0.247
Seq_7075,0.385,0.343,0.273,0.455,0.315,0.217
Seq_7076,0.403,0.324,0.273,0.471,0.263,0.253
Seq_7077,0.467,0.267,0.266,0.444,0.344,0.201
Seq_7078,0.331,0.292,0.377,0.471,0.273,0.256
Seq_7079,0.394,0.315,0.291,0.396,0.333,0.255
Seq_7080,0.462,0.279,0.26,0.433,0.346,0.231
Seq_7081,0.52,0.222,0.258,0.472,0.326,0.207
Seq_7082,0.364,0.327,0.309,0.385,0.331,0.316
Seq_7083,0.466,0.301,0.233,0.466,0.322,0.216
Seq_7084,0.386,0.301,0.313,0.463,0.321,0.256
Seq_7085,0.374,0.294,0.332,0.402,0.316,0.301
Seq_7086,0.368,0.277,0.355,0.45,0.281,0.277
Seq_7087,0.423,0.277,0.3,0.426,0.323,0.22
Seq_7088,0.498,0.226,0.276,0.381,0.342,0.233
Seq_7089,0.475,0.289,0.236,0.416,0.303,0.253
Seq_7090,0.477,0.28,0.242,0.371,0.333,0.326
Seq_7091,0.438,0.286,0.276,0.468,0.312,0.212
Seq_7092,0.464,0.268,0.268,0.436,0.287,0.255
Seq_7093,0.488,0.264,0.248,0.452,0.336,0.2
Seq_7094,0.422,0.286,0.293,0.39,0.355,0.258
Seq_7095,0.461,0.251,0.287,0.436,0.298,0.26
Seq_7096,0.382,0.304,0.314,0.417,0.324,0.309
Seq_7097,0.334,0.312,0.353,0.419,0.342,0.268
Seq_7098,0.333,0.31,0.357,0.433,0.304,0.246
Seq_7099,0.436,0.263,0.301,0.444,0.32,0.232
Seq_7100,0.447,0.304,0.249,0.47,0.245,0.273
Seq_7101,0.438,0.382,0.18,0.521,0.221,0.249
Seq_7102,0.448,0.227,0.326,0.497,0.312,0.247
Seq_7103,0.47,0.249,0.28,0.499,0.252,0.249
Seq_7104,0.477,0.279,0.244,0.401,0.374,0.22
Seq_7105,0.483,0.254,0.263,0.427,0.316,0.235
Seq_7106,0.454,0.307,0.239,0.466,0.282,0.227
Seq_7107,0.487,0.237,0.276,0.493,0.283,0.191
Seq_7108,0.44,0.247,0.312,0.503,0.264,0.229
Seq_7109,0.397,0.3,0.303,0.491,0.275,0.234
Seq_7110,0.437,0.22,0.343,0.351,0.366,0.28
Seq_7111,0.411,0.304,0.284,0.465,0.298,0.237
Seq_7112,0.514,0.189,0.297,0.514,0.318,0.182
Seq_7113,0.442,0.279,0.279,0.497,0.284,0.216
Seq_7114,0.44,0.281,0.279,0.499,0.284,0.216
Seq_7115,0.307,0.265,0.428,0.436,0.324,0.279
Seq_7116,0.365,0.329,0.306,0.459,0.282,0.294
Seq_7117,0.464,0.266,0.27,0.54,0.214,0.185
Seq_7118,0.454,0.299,0.247,0.433,0.343,0.24
Seq_7119,0.42,0.287,0.293,0.464,0.313,0.227
Seq_7120,0.445,0.281,0.274,0.452,0.298,0.257
Seq_7121,0.474,0.227,0.299,0.397,0.356,0.253
Seq_7122,0.29,0.319,0.391,0.424,0.299,0.288
Seq_7123,0.392,0.296,0.312,0.376,0.36,0.264
Seq_7124,0.501,0.206,0.293,0.51,0.289,0.18
Seq_7125,0.488,0.275,0.238,0.454,0.317,0.221
Seq_7126,0.42,0.282,0.298,0.392,0.298,0.328
Seq_7127,0.517,0.245,0.238,0.509,0.259,0.222
Seq_7128,0.505,0.227,0.269,0.519,0.248,0.206
Seq_7129,0.441,0.278,0.28,0.432,0.288,0.261
Seq_7130,0.47,0.25,0.28,0.483,0.287,0.216
Seq_7131,0.401,0.312,0.287,0.419,0.32,0.251
Seq_7132,0.427,0.287,0.287,0.392,0.338,0.287
Seq_7133,0.48,0.262,0.258,0.462,0.331,0.218
Seq_7134,0.473,0.237,0.29,0.433,0.281,0.261
Seq_7135,0.423,0.284,0.293,0.351,0.399,0.269
Seq_7136,0.486,0.243,0.271,0.463,0.269,0.246
Seq_7137,0.335,0.333,0.331,0.401,0.354,0.25
Seq_7138,0.434,0.264,0.302,0.455,0.272,0.264
Seq_7139,0.457,0.271,0.271,0.451,0.304,0.248
Seq_7140,0.482,0.274,0.244,0.35,0.404,0.24
Seq_7141,0.489,0.288,0.223,0.545,0.249,0.18
Seq_7142,0.396,0.288,0.316,0.463,0.297,0.268
Seq_7143,0.468,0.231,0.302,0.498,0.271,0.228
Seq_7144,0.461,0.263,0.277,0.383,0.365,0.254
Seq_7145,0.467,0.253,0.279,0.528,0.249,0.223
Seq_7146,0.444,0.266,0.29,0.421,0.333,0.266
Seq_7147,0.463,0.259,0.278,0.482,0.251,0.255
Seq_7148,0.497,0.191,0.311,0.352,0.361,0.279
Seq_7149,0.389,0.343,0.269,0.488,0.312,0.198
Seq_7150,0.415,0.324,0.261,0.38,0.324,0.296
Seq_7151,0.41,0.367,0.223,0.532,0.186,0.271
Seq_7152,0.431,0.229,0.34,0.412,0.335,0.291
Seq_7153,0.42,0.242,0.338,0.396,0.304,0.373
Seq_7154,0.418,0.244,0.338,0.396,0.304,0.373
Seq_7155,0.433,0.299,0.268,0.443,0.299,0.227
Seq_7156,0.391,0.296,0.312,0.454,0.306,0.23
Seq_7157,0.406,0.305,0.289,0.398,0.316,0.259
Seq_7158,0.378,0.275,0.347,0.394,0.275,0.367
Seq_7159,0.396,0.31,0.294,0.439,0.359,0.248
Seq_7160,0.455,0.243,0.302,0.468,0.263,0.269
Seq_7161,0.401,0.277,0.322,0.428,0.301,0.247
Seq_7162,0.464,0.29,0.246,0.46,0.278,0.222
Seq_7163,0.458,0.31,0.231,0.537,0.264,0.167
Seq_7164,0.483,0.225,0.292,0.512,0.273,0.215
Seq_7165,0.462,0.255,0.283,0.547,0.231,0.186
Seq_7166,0.347,0.313,0.34,0.395,0.324,0.304
Seq_7167,0.478,0.258,0.264,0.416,0.341,0.227
Seq_7168,0.425,0.281,0.294,0.472,0.281,0.262
Seq_7169,0.431,0.285,0.283,0.47,0.322,0.214
Seq_7170,0.506,0.229,0.265,0.527,0.238,0.235
Seq_7171,0.407,0.268,0.325,0.449,0.28,0.274
Seq_7172,0.41,0.334,0.256,0.439,0.346,0.218
Seq_7173,0.523,0.203,0.274,0.503,0.269,0.213
Seq_7174,0.41,0.306,0.284,0.451,0.331,0.233
Seq_7175,0.292,0.355,0.353,0.358,0.358,0.294
Seq_7176,0.453,0.238,0.308,0.41,0.346,0.24
Seq_7177,0.492,0.233,0.275,0.46,0.288,0.233
Seq_7178,0.401,0.329,0.271,0.377,0.336,0.271
Seq_7179,0.468,0.288,0.243,0.441,0.306,0.261
Seq_7180,0.516,0.195,0.289,0.395,0.326,0.237
Seq_7181,0.5,0.228,0.272,0.532,0.266,0.209
Seq_7182,0.462,0.243,0.295,0.452,0.257,0.262
Seq_7183,0.452,0.26,0.288,0.49,0.327,0.192
Seq_7184,0.394,0.276,0.331,0.478,0.263,0.251
Seq_7185,0.419,0.279,0.302,0.376,0.378,0.24
Seq_7186,0.535,0.205,0.26,0.34,0.421,0.239
Seq_7187,0.468,0.229,0.303,0.413,0.349,0.229
Seq_7188,0.451,0.271,0.278,0.444,0.289,0.26
Seq_7189,0.372,0.325,0.303,0.521,0.284,0.233
Seq_7190,0.435,0.315,0.25,0.426,0.306,0.25
Seq_7191,0.391,0.328,0.281,0.477,0.289,0.243
Seq_7192,0.442,0.261,0.297,0.41,0.327,0.285
Seq_7193,0.523,0.215,0.262,0.409,0.324,0.262
Seq_7194,0.479,0.217,0.304,0.364,0.397,0.222
Seq_7195,0.409,0.282,0.309,0.45,0.309,0.248
Seq_7196,0.44,0.28,0.28,0.387,0.347,0.267
Seq_7197,0.454,0.256,0.29,0.509,0.239,0.242
Seq_7198,0.436,0.306,0.257,0.476,0.27,0.215
Seq_7199,0.436,0.307,0.257,0.416,0.347,0.228
Seq_7200,0.514,0.247,0.239,0.4,0.341,0.204
Seq_7201,0.467,0.293,0.24,0.393,0.393,0.193
Seq_7202,0.472,0.288,0.24,0.461,0.314,0.251
Seq_7203,0.531,0.252,0.217,0.353,0.473,0.14
Seq_7204,0.382,0.349,0.27,0.39,0.257,0.324
Seq_7205,0.437,0.301,0.262,0.455,0.308,0.203
Seq_7206,0.587,0.179,0.234,0.334,0.425,0.219
Seq_7207,0.442,0.292,0.266,0.407,0.327,0.257
Seq_7208,0.479,0.246,0.275,0.504,0.246,0.221
Seq_7209,0.4,0.282,0.318,0.475,0.329,0.23
Seq_7210,0.473,0.209,0.318,0.427,0.373,0.2
Seq_7211,0.375,0.325,0.3,0.45,0.3,0.275
Seq_7212,0.442,0.276,0.281,0.412,0.302,0.276
Seq_7213,0.496,0.278,0.226,0.526,0.211,0.203
Seq_7214,0.433,0.29,0.277,0.499,0.286,0.222
Seq_7215,0.498,0.242,0.259,0.321,0.43,0.225
Seq_7216,0.421,0.31,0.269,0.405,0.373,0.234
Seq_7217,0.421,0.258,0.321,0.497,0.245,0.248
Seq_7218,0.42,0.319,0.261,0.487,0.345,0.164
Seq_7219,0.358,0.217,0.426,0.347,0.419,0.33
Seq_7220,0.395,0.304,0.301,0.368,0.353,0.289
Seq_7221,0.365,0.317,0.317,0.458,0.321,0.225
Seq_7222,0.483,0.264,0.253,0.389,0.377,0.226
Seq_7223,0.363,0.379,0.258,0.584,0.186,0.258
Seq_7224,0.517,0.239,0.243,0.457,0.278,0.235
Seq_7225,0.428,0.289,0.283,0.436,0.312,0.249
Seq_7226,0.398,0.301,0.301,0.451,0.286,0.263
Seq_7227,0.447,0.27,0.284,0.411,0.355,0.234
Seq_7228,0.446,0.308,0.246,0.442,0.292,0.262
Seq_7229,0.432,0.326,0.242,0.394,0.348,0.22
Seq_7230,0.362,0.328,0.31,0.371,0.362,0.277
Seq_7231,0.371,0.325,0.304,0.371,0.359,0.283
Seq_7232,0.371,0.313,0.316,0.377,0.347,0.259
Seq_7233,0.505,0.189,0.306,0.423,0.315,0.288
Seq_7234,0.391,0.279,0.33,0.37,0.35,0.283
Seq_7235,0.405,0.285,0.309,0.456,0.319,0.249
Seq_7236,0.491,0.253,0.256,0.488,0.332,0.182
Seq_7237,0.442,0.264,0.295,0.395,0.318,0.291
Seq_7238,0.424,0.271,0.306,0.476,0.266,0.221
Seq_7239,0.499,0.242,0.26,0.441,0.298,0.226
Seq_7240,0.439,0.294,0.267,0.434,0.321,0.262
Seq_7241,0.439,0.29,0.271,0.43,0.326,0.262
Seq_7242,0.482,0.24,0.278,0.441,0.328,0.24
Seq_7243,0.431,0.253,0.316,0.349,0.402,0.292
Seq_7244,0.428,0.327,0.245,0.372,0.387,0.249
Seq_7245,0.401,0.298,0.3,0.422,0.345,0.255
Seq_7246,0.45,0.305,0.244,0.443,0.229,0.275
Seq_7247,0.515,0.255,0.23,0.352,0.388,0.245
Seq_7248,0.377,0.331,0.292,0.416,0.339,0.249
Seq_7249,0.403,0.297,0.3,0.457,0.319,0.241
Seq_7250,0.471,0.228,0.302,0.52,0.243,0.235
Seq_7251,0.426,0.286,0.287,0.397,0.338,0.245
Seq_7252,0.432,0.268,0.3,0.404,0.336,0.258
Seq_7253,0.43,0.284,0.286,0.398,0.352,0.255
Seq_7254,0.407,0.259,0.333,0.387,0.362,0.226
Seq_7255,0.385,0.294,0.321,0.472,0.286,0.242
Seq_7256,0.422,0.288,0.29,0.475,0.273,0.258
Seq_7257,0.439,0.275,0.286,0.588,0.188,0.2
Seq_7258,0.429,0.284,0.286,0.459,0.284,0.245
Seq_7259,0.439,0.265,0.296,0.5,0.287,0.197
Seq_7260,0.444,0.253,0.303,0.465,0.318,0.237
Seq_7261,0.353,0.34,0.308,0.391,0.359,0.237
Seq_7262,0.34,0.315,0.346,0.512,0.284,0.216
Seq_7263,0.372,0.304,0.323,0.37,0.3,0.347
Seq_7264,0.461,0.25,0.289,0.428,0.319,0.273
Seq_7265,0.43,0.271,0.299,0.411,0.328,0.248
Seq_7266,0.535,0.235,0.229,0.484,0.284,0.206
Seq_7267,0.477,0.243,0.28,0.479,0.246,0.26
Seq_7268,0.49,0.262,0.248,0.446,0.302,0.24
Seq_7269,0.527,0.259,0.214,0.477,0.277,0.205
Seq_7270,0.302,0.344,0.354,0.5,0.264,0.25
Seq_7271,0.446,0.24,0.314,0.376,0.328,0.321
Seq_7272,0.435,0.274,0.291,0.452,0.319,0.237
Seq_7273,0.472,0.271,0.257,0.413,0.349,0.257
Seq_7274,0.47,0.237,0.293,0.369,0.369,0.283
Seq_7275,0.443,0.264,0.292,0.421,0.348,0.207
Seq_7276,0.534,0.229,0.237,0.432,0.237,0.339
Seq_7277,0.432,0.296,0.273,0.465,0.281,0.241
Seq_7278,0.428,0.299,0.273,0.468,0.284,0.242
Seq_7279,0.366,0.359,0.275,0.415,0.289,0.254
Seq_7280,0.39,0.272,0.338,0.451,0.28,0.27
Seq_7281,0.544,0.258,0.198,0.462,0.286,0.269
Seq_7282,0.422,0.296,0.282,0.457,0.323,0.232
Seq_7283,0.468,0.285,0.247,0.474,0.272,0.233
Seq_7284,0.471,0.275,0.254,0.446,0.287,0.263
Seq_7285,0.475,0.242,0.283,0.364,0.364,0.283
Seq_7286,0.411,0.289,0.3,0.439,0.329,0.229
Seq_7287,0.467,0.275,0.258,0.414,0.319,0.261
Seq_7288,0.464,0.278,0.258,0.414,0.319,0.261
Seq_7289,0.523,0.252,0.225,0.396,0.351,0.243
Seq_7290,0.402,0.296,0.302,0.42,0.339,0.247
Seq_7291,0.453,0.292,0.255,0.464,0.33,0.195
Seq_7292,0.397,0.315,0.288,0.494,0.243,0.247
Seq_7293,0.294,0.371,0.335,0.416,0.294,0.33
Seq_7294,0.39,0.295,0.315,0.415,0.311,0.257
Seq_7295,0.498,0.197,0.305,0.352,0.455,0.169
Seq_7296,0.441,0.291,0.268,0.414,0.322,0.267
Seq_7297,0.352,0.294,0.354,0.453,0.276,0.274
Seq_7298,0.409,0.35,0.24,0.602,0.161,0.224
Seq_7299,0.445,0.269,0.287,0.476,0.299,0.232
Seq_7300,0.451,0.268,0.281,0.462,0.302,0.215
Seq_7301,0.46,0.305,0.235,0.477,0.281,0.232
Seq_7302,0.407,0.34,0.253,0.395,0.36,0.249
Seq_7303,0.405,0.256,0.339,0.362,0.284,0.331
Seq_7304,0.54,0.226,0.235,0.501,0.287,0.192
Seq_7305,0.448,0.274,0.278,0.448,0.292,0.219
Seq_7306,0.419,0.279,0.301,0.456,0.287,0.199
Seq_7307,0.429,0.288,0.283,0.388,0.347,0.269
Seq_7308,0.447,0.263,0.291,0.433,0.313,0.246
Seq_7309,0.492,0.25,0.258,0.466,0.271,0.263
Seq_7310,0.484,0.256,0.261,0.489,0.286,0.216
Seq_7311,0.514,0.236,0.25,0.453,0.278,0.241
Seq_7312,0.409,0.323,0.267,0.466,0.318,0.211
Seq_7313,0.399,0.26,0.341,0.406,0.342,0.323
Seq_7314,0.51,0.252,0.238,0.47,0.331,0.18
Seq_7315,0.416,0.316,0.268,0.45,0.344,0.196
Seq_7316,0.443,0.257,0.3,0.443,0.357,0.248
Seq_7317,0.429,0.266,0.305,0.433,0.292,0.245
Seq_7318,0.415,0.292,0.293,0.386,0.369,0.238
Seq_7319,0.481,0.216,0.302,0.395,0.401,0.284
Seq_7320,0.423,0.309,0.268,0.33,0.351,0.284
Seq_7321,0.448,0.279,0.273,0.435,0.306,0.263
Seq_7322,0.407,0.287,0.306,0.5,0.264,0.239
Seq_7323,0.431,0.302,0.267,0.427,0.312,0.263
Seq_7324,0.516,0.239,0.245,0.406,0.374,0.252
Seq_7325,0.485,0.25,0.265,0.48,0.25,0.24
Seq_7326,0.43,0.214,0.356,0.312,0.325,0.405
Seq_7327,0.452,0.253,0.295,0.387,0.362,0.27
Seq_7328,0.409,0.322,0.269,0.474,0.297,0.237
Seq_7329,0.432,0.272,0.296,0.379,0.367,0.254
Seq_7330,0.411,0.295,0.293,0.468,0.283,0.24
Seq_7331,0.387,0.31,0.303,0.462,0.275,0.263
Seq_7332,0.406,0.257,0.337,0.531,0.286,0.189
Seq_7333,0.431,0.284,0.285,0.431,0.312,0.238
Seq_7334,0.505,0.212,0.283,0.493,0.268,0.252
Seq_7335,0.535,0.238,0.227,0.406,0.34,0.223
Seq_7336,0.444,0.278,0.278,0.444,0.25,0.264
Seq_7337,0.454,0.27,0.276,0.435,0.307,0.247
Seq_7338,0.438,0.271,0.291,0.392,0.337,0.271
Seq_7339,0.483,0.24,0.278,0.456,0.314,0.225
Seq_7340,0.32,0.32,0.359,0.456,0.295,0.301
Seq_7341,0.446,0.256,0.297,0.352,0.36,0.307
Seq_7342,0.415,0.354,0.232,0.439,0.301,0.248
Seq_7343,0.511,0.24,0.249,0.53,0.236,0.22
Seq_7344,0.471,0.219,0.31,0.374,0.342,0.235
Seq_7345,0.437,0.304,0.258,0.42,0.333,0.237
Seq_7346,0.643,0.13,0.227,0.468,0.305,0.175
Seq_7347,0.453,0.287,0.26,0.548,0.245,0.196
Seq_7348,0.56,0.217,0.222,0.449,0.324,0.213
Seq_7349,0.492,0.219,0.289,0.621,0.188,0.172
Seq_7350,0.403,0.332,0.265,0.449,0.322,0.248
Seq_7351,0.51,0.221,0.268,0.443,0.315,0.235
Seq_7352,0.448,0.256,0.296,0.391,0.348,0.268
Seq_7353,0.395,0.227,0.378,0.316,0.378,0.33
Seq_7354,0.425,0.299,0.276,0.404,0.337,0.278
Seq_7355,0.463,0.286,0.251,0.43,0.322,0.215
Seq_7356,0.44,0.283,0.277,0.414,0.338,0.228
Seq_7357,0.548,0.208,0.244,0.339,0.434,0.21
Seq_7358,0.553,0.205,0.243,0.339,0.43,0.211
Seq_7359,0.429,0.283,0.289,0.528,0.236,0.224
Seq_7360,0.42,0.278,0.302,0.463,0.278,0.315
Seq_7361,0.418,0.309,0.273,0.45,0.28,0.291
Seq_7362,0.345,0.292,0.363,0.396,0.373,0.34
Seq_7363,0.393,0.318,0.289,0.439,0.291,0.256
Seq_7364,0.423,0.268,0.309,0.345,0.361,0.268
Seq_7365,0.456,0.244,0.3,0.367,0.342,0.271
Seq_7366,0.425,0.232,0.343,0.505,0.222,0.244
Seq_7367,0.498,0.22,0.282,0.417,0.268,0.272
Seq_7368,0.525,0.257,0.218,0.418,0.349,0.207
Seq_7369,0.419,0.276,0.304,0.506,0.239,0.265
Seq_7370,0.438,0.276,0.286,0.398,0.33,0.279
Seq_7371,0.347,0.295,0.358,0.474,0.312,0.22
Seq_7372,0.39,0.242,0.369,0.344,0.376,0.336
Seq_7373,0.411,0.275,0.314,0.453,0.275,0.256
Seq_7374,0.485,0.245,0.27,0.455,0.266,0.223
Seq_7375,0.435,0.302,0.264,0.447,0.304,0.276
Seq_7376,0.452,0.296,0.252,0.544,0.22,0.208
Seq_7377,0.449,0.285,0.266,0.43,0.327,0.257
Seq_7378,0.407,0.291,0.302,0.501,0.265,0.251
Seq_7379,0.4,0.287,0.313,0.48,0.28,0.247
Seq_7380,0.525,0.248,0.228,0.535,0.267,0.218
Seq_7381,0.415,0.287,0.297,0.512,0.275,0.217
Seq_7382,0.452,0.282,0.266,0.432,0.278,0.27
Seq_7383,0.438,0.277,0.285,0.447,0.305,0.255
Seq_7384,0.582,0.217,0.202,0.502,0.274,0.183
Seq_7385,0.443,0.229,0.328,0.487,0.342,0.194
Seq_7386,0.426,0.313,0.261,0.467,0.275,0.238
Seq_7387,0.516,0.245,0.239,0.409,0.346,0.234
Seq_7388,0.575,0.178,0.247,0.339,0.396,0.22
Seq_7389,0.408,0.296,0.296,0.454,0.286,0.286
Seq_7390,0.362,0.343,0.295,0.416,0.268,0.324
Seq_7391,0.426,0.286,0.288,0.448,0.236,0.283
Seq_7392,0.351,0.375,0.274,0.616,0.155,0.256
Seq_7393,0.472,0.261,0.267,0.424,0.365,0.191
Seq_7394,0.423,0.291,0.286,0.395,0.317,0.287
Seq_7395,0.411,0.213,0.376,0.322,0.365,0.351
Seq_7396,0.448,0.291,0.261,0.358,0.381,0.269
Seq_7397,0.415,0.228,0.357,0.336,0.39,0.324
Seq_7398,0.425,0.289,0.286,0.525,0.266,0.189
Seq_7399,0.453,0.262,0.285,0.5,0.235,0.241
Seq_7400,0.443,0.299,0.259,0.362,0.339,0.236
Seq_7401,0.511,0.256,0.233,0.421,0.278,0.271
Seq_7402,0.509,0.222,0.269,0.455,0.299,0.222
Seq_7403,0.413,0.274,0.312,0.385,0.346,0.284
Seq_7404,0.338,0.317,0.345,0.434,0.29,0.29
Seq_7405,0.413,0.243,0.344,0.454,0.307,0.243
Seq_7406,0.451,0.274,0.274,0.462,0.307,0.22
Seq_7407,0.484,0.241,0.275,0.41,0.323,0.221
Seq_7408,0.426,0.267,0.307,0.489,0.249,0.256
Seq_7409,0.459,0.27,0.27,0.5,0.267,0.204
Seq_7410,0.427,0.341,0.232,0.509,0.235,0.267
Seq_7411,0.414,0.306,0.28,0.535,0.28,0.236
Seq_7412,0.306,0.306,0.388,0.44,0.294,0.294
Seq_7413,0.422,0.282,0.296,0.418,0.294,0.267
Seq_7414,0.443,0.278,0.278,0.435,0.298,0.235
Seq_7415,0.418,0.288,0.294,0.412,0.333,0.255
Seq_7416,0.375,0.318,0.308,0.445,0.311,0.231
Seq_7417,0.426,0.27,0.305,0.447,0.357,0.225
Seq_7418,0.467,0.272,0.26,0.421,0.378,0.217
Seq_7419,0.405,0.287,0.308,0.421,0.359,0.215
Seq_7420,0.427,0.242,0.331,0.369,0.42,0.274
Seq_7421,0.447,0.301,0.252,0.499,0.282,0.213
Seq_7422,0.424,0.264,0.312,0.361,0.335,0.299
Seq_7423,0.416,0.299,0.285,0.489,0.277,0.241
Seq_7424,0.333,0.34,0.326,0.496,0.22,0.262
Seq_7425,0.404,0.256,0.34,0.371,0.352,0.288
Seq_7426,0.425,0.267,0.308,0.437,0.292,0.283
Seq_7427,0.5,0.166,0.334,0.404,0.313,0.24
Seq_7428,0.575,0.179,0.245,0.33,0.34,0.264
Seq_7429,0.446,0.271,0.284,0.426,0.337,0.231
Seq_7430,0.38,0.332,0.288,0.42,0.307,0.259
Seq_7431,0.466,0.257,0.277,0.422,0.319,0.243
Seq_7432,0.471,0.252,0.276,0.448,0.262,0.267
Seq_7433,0.486,0.301,0.213,0.483,0.303,0.208
Seq_7434,0.454,0.152,0.394,0.399,0.357,0.336
Seq_7435,0.404,0.249,0.347,0.328,0.386,0.289
Seq_7436,0.479,0.253,0.268,0.433,0.32,0.23
Seq_7437,0.536,0.206,0.258,0.502,0.239,0.225
Seq_7438,0.397,0.283,0.32,0.467,0.272,0.268
Seq_7439,0.453,0.269,0.278,0.46,0.289,0.249
Seq_7440,0.566,0.2,0.234,0.44,0.314,0.194
Seq_7441,0.376,0.337,0.286,0.409,0.347,0.262
Seq_7442,0.525,0.186,0.289,0.394,0.347,0.282
Seq_7443,0.406,0.304,0.29,0.482,0.276,0.23
Seq_7444,0.366,0.353,0.281,0.43,0.328,0.27
Seq_7445,0.404,0.302,0.294,0.46,0.28,0.266
Seq_7446,0.477,0.254,0.269,0.405,0.344,0.237
Seq_7447,0.496,0.214,0.29,0.467,0.253,0.264
Seq_7448,0.472,0.253,0.275,0.466,0.291,0.246
Seq_7449,0.495,0.223,0.282,0.537,0.223,0.229
Seq_7450,0.485,0.231,0.284,0.509,0.272,0.237
Seq_7451,0.461,0.246,0.293,0.454,0.267,0.249
Seq_7452,0.612,0.207,0.181,0.319,0.425,0.216
Seq_7453,0.466,0.288,0.246,0.449,0.292,0.297
Seq_7454,0.395,0.299,0.305,0.465,0.317,0.234
Seq_7455,0.425,0.297,0.277,0.469,0.317,0.236
Seq_7456,0.42,0.302,0.278,0.402,0.355,0.231
Seq_7457,0.379,0.326,0.295,0.374,0.321,0.3
Seq_7458,0.435,0.269,0.296,0.428,0.328,0.255
Seq_7459,0.408,0.3,0.292,0.428,0.308,0.258
Seq_7460,0.454,0.258,0.288,0.43,0.312,0.246
Seq_7461,0.497,0.203,0.299,0.524,0.235,0.209
Seq_7462,0.459,0.259,0.282,0.4,0.338,0.275
Seq_7463,0.432,0.251,0.317,0.406,0.336,0.236
Seq_7464,0.439,0.282,0.279,0.419,0.346,0.259
Seq_7465,0.373,0.259,0.368,0.383,0.321,0.308
Seq_7466,0.338,0.274,0.389,0.465,0.268,0.274
Seq_7467,0.409,0.291,0.299,0.402,0.394,0.268
Seq_7468,0.434,0.28,0.286,0.453,0.282,0.255
Seq_7469,0.477,0.221,0.302,0.403,0.376,0.23
Seq_7470,0.449,0.292,0.259,0.492,0.286,0.2
Seq_7471,0.412,0.299,0.289,0.36,0.372,0.265
Seq_7472,0.44,0.298,0.262,0.429,0.381,0.19
Seq_7473,0.504,0.248,0.248,0.429,0.274,0.274
Seq_7474,0.405,0.302,0.292,0.41,0.322,0.27
Seq_7475,0.22,0.429,0.352,0.44,0.198,0.352
Seq_7476,0.51,0.255,0.235,0.559,0.219,0.211
Seq_7477,0.382,0.31,0.308,0.423,0.323,0.264
Seq_7478,0.427,0.282,0.292,0.453,0.283,0.247
Seq_7479,0.444,0.25,0.306,0.366,0.356,0.239
Seq_7480,0.505,0.19,0.305,0.31,0.417,0.246
Seq_7481,0.518,0.2,0.282,0.424,0.329,0.235
Seq_7482,0.376,0.333,0.291,0.501,0.277,0.243
Seq_7483,0.381,0.331,0.288,0.512,0.283,0.229
Seq_7484,0.49,0.288,0.222,0.465,0.288,0.206
Seq_7485,0.449,0.287,0.264,0.449,0.307,0.283
Seq_7486,0.395,0.296,0.309,0.486,0.3,0.214
Seq_7487,0.479,0.275,0.246,0.431,0.317,0.216
Seq_7488,0.443,0.284,0.273,0.406,0.337,0.248
