ID,DDR_A,DDR_C,DDR_D,DDR_E,DDR_F,DDR_G,DDR_H,DDR_I,DDR_K,DDR_L,DDR_M,DDR_N,DDR_P,DDR_Q,DDR_R,DDR_S,DDR_T,DDR_V,DDR_W,DDR_Y
Seq_8155,23.32,0.00,20.67,42.43,22.59,26.81,103.71,33.83,61.61,21.51,270.00,20.38,40.75,53.53,71.03,16.27,19.80,16.72,56.21,56.25
Seq_8156,12.08,94.84,31.53,32.74,34.39,18.54,51.39,27.81,33.62,20.95,41.91,50.70,131.08,56.46,34.29,28.77,42.35,30.14,199.47,48.01
Seq_8157,22.48,82.65,25.33,22.75,43.34,31.34,132.19,29.70,18.30,16.95,54.22,74.42,28.27,38.67,48.43,24.40,66.44,26.16,48.62,25.31
Seq_8158,31.12,306.87,42.97,90.27,52.56,34.61,54.14,45.13,39.17,32.20,93.43,23.22,53.73,37.75,82.46,22.36,31.61,41.02,340.97,102.42
Seq_8159,26.50,113.46,16.82,37.63,21.47,18.10,33.33,45.70,22.05,20.08,111.94,83.72,42.26,52.49,57.64,21.39,22.63,32.46,119.38,53.27
Seq_8160,23.83,57.20,28.50,30.69,41.13,28.28,125.84,31.18,28.95,20.06,60.03,47.83,27.35,60.61,22.94,28.69,40.77,21.60,141.21,50.05
Seq_8161,15.88,153.22,27.83,28.54,41.81,23.46,59.53,22.74,27.94,15.46,71.39,40.17,45.28,136.40,48.28,27.09,30.70,24.10,226.56,76.69
Seq_8162,18.37,75.12,43.34,28.70,114.59,19.71,67.59,49.37,51.27,36.60,136.46,114.89,41.51,27.50,18.36,33.96,21.71,33.99,44.66,34.65
Seq_8163,21.50,0.00,38.59,17.97,41.34,29.87,59.89,19.98,18.36,14.28,41.13,22.39,35.49,67.40,25.78,35.94,57.15,25.77,84.23,21.61
Seq_8164,20.27,0.00,26.05,15.22,38.65,15.99,43.37,17.61,23.04,14.99,128.01,39.78,32.20,100.17,68.78,23.07,21.41,26.54,59.26,22.45
Seq_8165,32.92,184.01,33.51,33.16,81.39,27.14,63.92,93.64,47.12,22.86,210.80,36.13,58.34,44.87,35.34,23.45,32.07,31.70,259.25,132.98
Seq_8166,12.38,27.46,25.16,22.21,34.09,21.19,40.51,39.04,20.71,17.75,41.69,15.83,19.40,17.11,39.57,38.55,38.71,17.99,43.31,53.25
Seq_8167,26.23,210.89,33.50,22.38,24.58,24.32,93.34,41.85,21.93,18.11,79.53,37.75,24.36,40.88,42.33,31.92,25.69,25.92,135.03,37.50
Seq_8168,47.60,62.90,32.73,14.14,29.66,9.85,51.66,22.20,12.14,26.17,30.21,28.47,84.99,78.62,116.28,28.01,27.59,15.59,0.00,51.41
Seq_8169,23.48,133.72,41.16,26.76,32.40,28.89,51.93,26.36,15.17,16.85,71.88,48.56,35.27,34.33,65.12,21.59,28.38,29.04,53.41,84.41
Seq_8170,27.46,36.90,60.70,43.99,60.47,17.14,58.28,20.11,13.71,11.05,39.75,28.44,41.38,79.17,29.75,14.51,20.28,22.69,0.00,25.47
Seq_8171,17.22,0.00,14.31,10.28,45.45,11.38,0.00,17.66,50.06,28.82,48.79,14.12,0.00,19.32,30.38,15.48,26.38,19.31,0.00,51.33
Seq_8172,27.52,283.62,22.52,47.38,29.35,29.38,54.28,35.56,40.18,20.88,168.76,56.23,40.78,80.24,42.42,38.91,21.97,25.10,94.28,49.84
Seq_8173,18.29,124.78,52.84,22.74,42.71,15.48,123.16,28.34,38.65,20.75,48.76,32.60,29.31,95.25,42.17,39.25,41.39,20.23,322.63,42.93
Seq_8174,18.57,78.41,28.29,43.34,52.28,33.93,103.97,20.46,29.59,11.74,40.86,35.25,27.96,21.36,40.09,24.64,25.25,22.55,93.05,47.15
Seq_8175,33.76,101.16,45.24,13.86,42.65,21.99,26.18,16.55,24.44,78.43,129.01,28.66,21.43,30.35,36.98,52.64,26.37,14.63,55.70,42.46
Seq_8176,27.28,58.87,21.29,30.74,18.36,11.45,40.44,22.99,20.79,23.32,54.93,34.52,17.91,45.99,37.72,29.27,26.48,32.26,97.36,35.50
Seq_8177,20.34,132.98,26.20,24.37,40.40,28.50,94.64,30.54,18.31,14.11,77.37,38.36,43.26,30.10,62.81,21.85,27.10,27.06,170.73,39.56
Seq_8178,14.62,63.93,25.78,24.29,83.02,28.66,64.65,25.78,24.70,23.33,101.01,42.60,48.94,38.92,40.61,28.86,23.53,25.83,49.85,27.43
Seq_8179,23.21,115.46,26.70,20.89,100.52,21.23,41.76,17.81,15.34,15.98,62.07,36.95,41.39,65.20,68.09,44.18,23.20,25.29,109.34,41.43
Seq_8180,44.08,136.45,29.61,21.63,52.41,56.35,112.14,29.59,34.44,17.02,84.29,32.66,35.36,45.61,49.85,22.96,39.16,29.33,159.84,129.44
Seq_8181,24.38,17.09,40.78,17.41,27.06,30.55,36.20,53.89,27.65,17.27,67.69,35.54,32.41,55.11,28.99,63.14,104.27,28.39,91.64,43.40
Seq_8182,26.76,30.89,47.83,22.42,30.51,26.50,43.99,25.66,28.55,19.60,111.46,27.92,35.33,35.76,21.84,16.97,33.64,52.31,30.31,56.93
Seq_8183,40.12,320.49,26.26,28.15,44.28,32.65,94.50,31.57,20.55,28.09,114.13,26.95,42.53,77.78,73.43,27.69,31.82,35.04,146.76,22.74
Seq_8184,37.05,71.36,20.80,29.80,37.10,27.13,51.46,17.33,29.74,17.86,65.01,29.73,37.22,23.76,31.70,84.55,32.94,37.19,56.34,42.24
Seq_8185,16.31,80.84,25.97,26.17,44.65,12.06,63.42,38.07,35.25,14.62,101.67,25.10,23.24,56.96,47.12,48.06,15.23,36.18,76.05,46.44
Seq_8186,38.94,66.87,14.60,24.03,19.75,33.07,89.15,29.82,27.81,23.33,110.66,27.58,49.95,30.35,35.21,18.54,20.12,18.75,51.47,41.03
Seq_8187,39.32,97.35,44.98,22.48,64.98,49.33,48.38,29.85,27.88,19.77,86.72,46.36,42.41,37.59,34.13,28.10,41.53,26.60,156.74,69.06
Seq_8188,28.78,129.82,11.94,24.65,24.25,43.60,94.23,16.43,21.08,15.81,50.85,66.85,40.30,41.56,40.88,18.50,39.17,39.50,0.00,57.85
Seq_8189,25.50,71.55,38.19,31.91,33.64,29.46,71.41,55.10,39.85,17.93,92.97,52.66,26.39,30.77,46.00,34.41,29.02,37.30,71.86,64.69
Seq_8190,16.77,0.00,26.54,28.05,39.19,17.34,245.16,34.87,17.90,23.08,313.25,30.75,29.97,36.10,117.27,27.12,22.37,24.63,53.91,50.10
Seq_8191,20.41,63.75,15.30,11.80,66.48,25.24,104.10,23.09,19.04,23.04,31.55,0.00,44.61,96.33,45.04,38.88,19.09,24.05,46.57,30.39
Seq_8192,24.50,0.00,59.13,17.62,32.63,36.27,0.00,19.30,13.81,12.42,54.20,30.33,31.98,34.38,24.61,35.09,31.66,24.46,109.51,54.00
Seq_8193,26.29,0.00,31.96,19.74,34.87,22.55,46.97,16.27,14.12,13.70,84.86,25.74,71.58,41.46,22.47,62.96,45.05,15.19,148.31,38.80
Seq_8194,28.16,170.11,18.02,31.06,20.61,25.45,43.81,28.87,29.27,31.96,39.54,50.72,36.77,63.89,23.19,36.00,53.44,29.56,76.44,36.54
Seq_8195,24.72,109.49,23.22,23.91,110.01,21.82,86.01,15.68,30.67,24.88,85.60,23.22,47.35,99.35,28.52,27.56,131.25,20.23,95.17,34.84
Seq_8196,21.88,125.83,18.37,23.97,28.65,35.12,92.32,26.41,24.08,24.90,41.38,69.89,21.72,40.08,41.51,34.78,40.58,32.72,34.39,54.89
Seq_8197,28.41,262.05,22.97,18.03,31.23,26.55,105.06,12.83,23.29,21.04,76.97,29.18,48.10,120.09,43.74,53.82,31.82,19.04,176.68,40.36
Seq_8198,27.89,76.18,20.44,23.39,27.02,27.83,50.95,36.14,26.07,38.43,39.79,57.16,29.14,50.97,37.03,25.77,47.02,18.96,72.96,51.99
Seq_8199,43.72,94.16,33.66,40.95,47.66,22.25,117.51,23.18,32.60,26.15,65.96,21.61,113.90,36.30,34.61,28.50,27.91,35.71,70.11,38.06
Seq_8200,16.76,127.81,23.45,24.66,28.99,17.08,119.66,21.19,19.62,27.75,96.69,60.28,46.64,48.11,133.54,35.00,29.65,28.43,232.80,42.08
Seq_8201,28.88,54.87,44.04,40.62,35.38,17.77,61.52,27.35,29.68,21.44,55.74,20.64,44.98,56.20,20.90,15.14,13.02,17.83,37.29,57.47
Seq_8202,29.22,127.84,37.07,24.92,36.88,24.84,310.60,35.89,61.92,22.78,104.33,37.26,22.27,42.39,70.33,25.36,31.26,34.73,88.87,50.34
Seq_8203,42.81,222.43,35.63,20.84,46.37,23.38,157.19,23.34,25.05,20.92,95.83,47.78,42.16,55.66,26.97,55.01,33.91,30.12,161.98,37.49
Seq_8204,268.34,97.97,27.65,33.79,125.43,115.43,65.47,29.00,18.67,45.95,138.99,12.88,211.70,107.25,131.50,37.79,55.94,81.89,828.66,70.85
Seq_8205,11.72,0.00,52.73,27.84,83.69,17.41,41.98,29.65,23.67,12.88,61.54,18.36,24.24,37.72,21.18,58.58,53.61,18.91,0.00,49.75
Seq_8206,17.72,0.00,28.63,29.19,47.71,29.39,80.72,26.73,10.30,14.27,125.01,71.25,29.17,23.71,19.59,17.61,42.37,16.66,0.00,36.50
Seq_8207,29.46,60.48,19.20,25.29,19.50,17.03,40.93,34.79,16.48,14.95,53.31,48.27,69.05,37.48,55.62,33.92,26.60,39.43,67.26,46.78
Seq_8208,35.31,74.89,42.83,36.27,65.69,20.23,57.91,77.84,99.62,29.76,371.99,31.81,25.70,48.38,61.38,27.00,30.34,40.64,236.75,69.84
Seq_8209,10.14,157.13,40.23,35.63,73.51,15.03,109.47,26.93,27.23,19.79,55.84,38.31,52.95,40.77,42.63,28.71,37.32,21.86,0.00,104.01
Seq_8210,17.17,168.57,27.15,19.80,37.25,26.79,69.11,33.96,31.67,14.91,163.74,33.29,52.72,39.83,25.76,46.89,29.41,25.48,204.24,215.79
Seq_8211,19.65,130.34,23.17,17.76,108.91,25.55,67.94,46.99,43.39,20.22,65.97,68.29,37.66,35.60,38.43,36.41,29.29,15.52,0.00,111.57
Seq_8212,11.84,77.68,9.96,26.45,13.70,19.78,68.05,29.64,9.53,16.59,0.00,34.86,0.00,41.36,60.79,23.01,31.39,37.41,0.00,0.00
Seq_8213,42.86,71.38,22.95,27.21,31.45,10.97,42.93,30.18,19.74,22.56,29.35,55.05,21.68,26.88,22.21,25.14,26.05,21.75,53.56,38.78
Seq_8214,19.24,144.06,46.11,19.25,27.96,27.71,118.35,40.45,29.48,18.48,35.34,54.53,35.87,35.83,42.18,19.56,69.31,20.90,103.79,62.73
Seq_8215,26.97,131.97,34.22,31.87,72.03,30.88,89.58,41.82,33.19,23.99,71.50,55.33,40.51,44.26,32.26,36.01,27.98,27.66,129.65,77.64
Seq_8216,11.25,101.74,13.78,53.41,23.64,35.41,36.74,17.97,20.99,21.12,41.62,21.95,26.77,50.22,16.50,22.74,46.28,16.95,82.42,74.36
Seq_8217,21.36,315.64,46.20,22.49,61.27,57.11,142.34,39.76,26.89,23.38,84.52,41.07,148.19,32.94,34.39,20.90,35.60,44.38,462.15,231.54
Seq_8218,35.04,79.44,33.05,50.08,29.73,23.35,209.64,27.38,41.12,27.23,135.66,30.25,49.67,43.33,50.20,23.87,23.51,22.97,153.92,44.13
Seq_8219,16.23,92.19,21.40,20.90,40.88,26.09,57.56,30.68,44.35,25.03,36.93,25.20,48.37,44.29,23.08,18.94,42.51,23.18,181.76,43.01
Seq_8220,32.04,15.06,25.98,41.58,101.28,17.13,50.67,43.38,8.91,17.38,105.93,19.58,21.81,100.83,24.32,43.87,21.15,24.79,60.31,21.45
Seq_8221,35.16,46.59,29.12,14.03,51.72,19.14,0.00,23.47,10.64,16.10,46.05,47.26,38.35,31.88,10.90,15.78,61.85,17.30,69.43,31.14
Seq_8222,50.24,214.30,18.87,18.35,39.87,32.44,66.51,17.87,24.42,32.31,119.24,37.76,136.56,44.83,52.95,21.85,30.52,18.73,364.63,55.77
Seq_8223,21.66,454.61,27.79,42.68,56.87,20.08,115.59,27.62,25.40,23.57,132.49,27.24,51.09,40.24,117.66,24.43,28.93,21.55,112.81,49.90
Seq_8224,14.01,97.92,58.84,12.85,55.71,50.05,42.78,19.08,43.73,10.84,51.12,37.84,77.96,19.81,37.77,35.32,15.88,18.95,0.00,69.61
Seq_8225,24.21,105.34,57.12,37.42,36.41,25.43,60.64,50.86,37.71,19.14,54.13,41.75,29.60,56.49,44.18,21.21,45.32,29.47,59.83,90.60
Seq_8226,31.66,191.10,45.96,23.96,70.09,24.73,84.73,26.76,24.58,24.31,90.87,39.44,35.09,27.40,48.20,45.59,36.18,24.58,64.62,87.48
Seq_8227,27.58,99.85,43.70,36.45,56.63,24.40,147.30,109.72,45.95,18.11,154.88,143.62,24.74,38.71,36.26,25.12,56.65,32.25,343.87,101.60
Seq_8228,12.95,0.00,29.11,21.32,18.25,18.15,34.34,16.43,41.98,12.47,62.02,37.81,56.39,31.95,20.59,34.63,28.78,30.63,44.14,22.02
Seq_8229,45.67,118.43,29.30,24.79,28.03,13.79,50.25,23.00,30.53,36.60,61.27,50.79,28.20,41.77,85.47,33.27,21.56,19.83,53.90,61.17
Seq_8230,16.12,86.66,28.02,19.38,46.93,22.87,46.71,29.67,23.81,18.10,141.30,23.12,26.13,51.89,46.61,35.98,17.38,18.57,58.02,54.09
Seq_8231,13.40,0.00,24.76,55.61,64.37,17.97,63.09,47.76,38.63,21.30,98.24,35.41,48.64,32.80,101.41,19.85,30.58,17.45,104.58,38.21
Seq_8232,26.32,92.78,54.13,45.31,51.29,22.80,49.92,51.43,67.76,28.80,89.04,45.33,24.84,56.06,34.51,28.44,30.76,45.29,73.18,31.17
Seq_8233,22.09,91.87,27.21,16.89,45.01,20.96,89.29,30.20,27.19,15.86,67.38,75.68,29.26,38.03,25.74,27.52,30.85,20.84,133.14,54.15
Seq_8234,35.70,150.27,17.55,19.32,46.56,27.75,65.25,39.50,44.73,21.59,61.83,59.57,54.13,38.33,38.05,20.68,41.00,26.90,217.40,39.64
Seq_8235,18.16,114.87,24.06,25.86,44.86,20.18,52.85,21.24,41.40,16.88,41.88,79.30,31.95,56.53,32.81,35.38,42.51,22.13,108.89,46.52
Seq_8236,24.10,24.02,28.92,67.01,73.66,28.81,58.33,16.93,42.98,17.46,72.59,18.96,37.46,72.81,43.12,42.95,29.01,25.86,60.06,45.67
Seq_8237,23.03,73.31,30.46,26.16,56.65,20.88,46.02,36.93,42.60,14.48,105.82,31.05,90.53,129.25,35.94,19.54,35.08,40.74,142.01,93.89
Seq_8238,18.97,116.81,42.34,23.55,92.86,36.77,78.98,42.47,78.77,15.82,129.58,122.66,35.09,20.66,20.89,38.72,53.47,23.58,75.42,62.19
Seq_8239,18.18,68.58,27.09,26.53,24.95,12.51,35.77,0.00,20.57,13.53,76.69,35.46,30.49,37.18,41.34,38.43,33.17,14.67,86.33,70.76
Seq_8240,24.14,127.36,49.62,20.85,41.51,15.42,38.55,16.60,33.81,18.82,90.41,25.92,59.62,59.18,33.93,42.93,40.65,28.95,0.00,49.92
Seq_8241,34.73,127.95,20.89,63.52,45.24,53.70,152.62,19.57,30.40,17.74,192.76,9.00,63.37,37.54,49.05,26.26,18.63,29.76,49.57,21.29
Seq_8242,22.38,156.66,49.25,13.29,25.03,39.25,46.90,22.59,16.28,22.39,34.58,19.79,117.05,23.41,60.66,25.96,67.49,51.51,103.73,30.16
Seq_8243,20.74,0.00,26.98,19.26,79.50,12.79,30.68,19.50,42.09,12.94,40.72,27.55,34.41,43.04,29.23,27.01,33.52,15.69,56.01,51.83
Seq_8244,14.13,110.24,19.93,19.57,23.81,20.89,113.47,25.52,45.24,16.55,148.02,27.23,31.80,17.85,40.95,28.98,40.51,32.74,87.24,56.69
Seq_8245,13.95,120.52,34.85,34.36,47.67,19.75,123.50,27.62,22.70,17.55,63.54,51.95,46.62,44.76,16.47,33.47,43.39,14.59,0.00,57.97
Seq_8246,14.90,63.36,30.85,37.25,48.66,18.36,44.00,16.15,24.22,28.86,43.88,43.99,43.31,52.60,61.04,29.16,21.99,24.60,210.92,64.54
Seq_8247,16.68,89.86,20.53,27.63,68.97,18.94,91.14,37.28,36.83,15.90,64.09,38.53,50.16,112.05,25.78,33.06,24.58,19.58,109.04,81.63
Seq_8248,25.71,178.60,52.60,18.27,28.85,39.10,62.62,20.94,32.25,17.82,80.11,53.27,35.95,80.51,17.83,31.00,36.70,32.34,62.85,27.92
Seq_8249,25.13,82.06,31.38,24.73,40.50,22.51,79.14,44.67,29.52,21.06,94.99,32.44,26.51,49.22,50.22,25.63,37.70,26.10,102.10,33.55
Seq_8250,31.04,80.66,35.19,24.49,33.27,20.69,0.00,30.43,34.05,28.92,141.93,27.35,37.30,69.26,70.17,29.13,40.55,18.60,141.88,32.54
Seq_8251,57.53,150.29,38.64,26.20,45.53,40.98,83.23,27.60,21.48,15.22,74.95,39.81,43.40,63.86,39.02,20.71,34.87,45.43,176.28,49.10
Seq_8252,40.42,227.00,21.23,15.91,36.36,17.61,69.69,11.59,13.39,15.03,75.00,33.63,40.65,17.92,30.37,28.69,20.12,29.21,0.00,65.81
Seq_8253,52.44,145.83,29.18,18.63,27.42,30.75,89.37,27.39,23.89,16.81,107.30,34.49,48.34,83.78,21.85,35.33,48.91,30.12,370.57,38.54
Seq_8254,30.01,0.00,56.03,15.44,22.40,11.41,47.30,126.30,43.84,12.26,44.81,75.41,17.87,106.01,16.64,90.36,50.78,14.25,97.05,47.73
Seq_8255,17.44,0.00,82.47,31.70,27.17,25.38,187.73,19.83,77.10,13.97,46.13,84.67,35.94,60.21,35.88,27.47,54.98,19.81,34.61,64.06
Seq_8256,13.33,354.47,30.20,44.00,60.80,19.38,69.35,48.98,75.67,19.97,90.48,105.19,22.11,42.37,26.57,49.63,43.21,26.85,73.75,32.03
Seq_8257,20.94,198.18,23.92,17.75,59.36,25.20,71.68,32.27,68.50,14.36,72.71,158.42,40.00,52.44,25.16,39.43,30.22,29.41,110.97,44.30
Seq_8258,26.14,227.04,36.86,54.38,73.50,30.38,123.02,45.24,33.58,22.11,65.88,41.88,54.62,35.37,83.10,23.74,23.32,27.52,235.25,212.09
Seq_8259,38.14,98.60,39.18,25.50,63.96,57.33,68.49,34.77,21.60,21.25,63.34,35.46,59.76,34.81,39.99,44.16,39.44,37.19,335.42,60.10
Seq_8260,20.66,0.00,28.65,21.24,21.75,13.71,46.71,32.08,59.22,19.78,59.17,53.41,32.69,65.59,20.17,19.43,20.98,13.68,57.67,56.98
Seq_8261,27.36,95.86,42.58,40.91,60.36,21.01,63.54,23.83,35.44,25.19,69.21,19.64,86.70,37.46,33.40,29.29,29.67,37.89,65.75,55.70
Seq_8262,32.48,137.75,37.53,20.98,52.88,23.78,79.43,32.34,22.59,23.86,88.50,43.63,32.39,32.46,40.19,46.73,34.88,30.28,72.91,66.71
Seq_8263,33.16,58.65,33.18,14.42,52.30,57.15,55.05,19.75,18.35,12.75,94.68,39.19,125.17,24.12,57.04,79.83,124.23,31.08,134.21,19.62
Seq_8264,21.50,60.10,16.40,16.64,76.08,51.39,44.78,21.22,34.21,11.51,59.05,56.23,36.15,48.27,18.21,22.21,56.64,23.72,74.43,32.41
Seq_8265,15.29,141.96,56.79,32.08,44.86,18.21,50.98,19.61,43.16,12.81,81.75,42.97,63.47,77.04,10.91,22.37,31.65,33.50,105.82,93.84
Seq_8266,19.16,197.18,35.26,27.62,71.61,29.20,39.15,40.61,20.40,16.26,66.05,38.04,42.72,49.60,40.53,20.33,40.66,23.78,80.00,28.93
Seq_8267,16.76,52.11,28.97,31.80,41.55,20.67,32.93,25.52,46.11,19.90,133.38,56.01,45.29,29.43,24.36,27.96,20.34,23.17,92.73,111.16
Seq_8268,18.69,60.04,33.38,32.18,41.49,22.46,71.49,41.94,40.57,24.82,57.79,47.84,22.65,70.65,26.49,35.81,37.18,19.88,74.47,63.89
Seq_8269,11.08,43.49,15.98,13.17,37.01,14.46,25.66,45.81,14.55,22.84,50.66,33.54,0.00,36.20,0.00,11.75,36.49,6.95,0.00,59.59
Seq_8270,28.72,106.30,30.98,27.99,39.63,23.39,75.50,44.56,15.71,17.34,59.11,29.66,36.03,61.60,28.22,28.30,42.25,30.46,131.99,82.30
Seq_8271,30.05,224.36,33.98,27.68,34.21,29.00,57.47,18.53,29.23,15.74,47.97,36.11,53.09,38.87,47.42,19.38,31.67,28.11,160.46,47.79
Seq_8272,21.57,298.80,61.14,75.19,120.77,15.06,125.68,49.85,60.80,21.29,174.89,47.08,24.97,41.96,30.30,31.17,50.99,40.09,179.80,131.48
Seq_8273,39.19,0.00,30.49,47.44,42.86,42.67,42.08,13.93,18.12,18.33,68.34,16.37,60.67,96.06,47.83,18.63,29.43,39.25,74.43,33.05
Seq_8274,15.46,225.78,19.20,25.94,41.66,26.53,0.00,23.84,14.09,15.62,62.69,29.02,39.69,27.27,136.14,17.94,41.07,15.90,0.00,63.06
Seq_8275,28.00,0.00,24.82,20.23,37.84,23.19,0.00,25.89,19.14,12.02,44.87,28.99,79.57,65.63,26.17,26.35,21.83,26.46,0.00,32.70
Seq_8276,29.56,99.84,21.38,35.71,32.50,26.51,59.21,42.10,16.02,19.50,44.92,37.57,35.72,60.35,37.28,41.08,51.24,21.73,96.93,42.30
Seq_8277,38.73,70.96,16.88,18.30,17.04,20.02,40.76,29.86,22.15,22.49,102.30,33.49,58.88,43.88,35.80,28.76,60.61,26.06,153.63,57.54
Seq_8278,31.72,190.69,41.62,23.02,69.85,24.27,91.66,24.48,24.52,23.75,145.08,42.91,34.99,26.14,45.03,44.00,36.02,25.24,64.37,86.87
Seq_8279,14.99,94.72,31.85,24.95,38.60,17.94,25.72,29.27,41.44,13.48,68.27,24.47,20.89,30.01,30.89,43.04,49.98,15.02,71.20,52.36
Seq_8280,30.90,81.84,48.04,46.68,93.45,26.11,54.52,87.65,70.40,34.17,113.77,77.84,24.35,94.80,35.33,17.12,43.27,40.77,272.95,98.09
Seq_8281,20.51,0.00,22.17,21.29,38.71,30.87,96.21,16.21,28.53,16.23,104.57,43.62,59.36,50.91,32.36,25.04,25.33,24.22,0.00,29.49
Seq_8282,20.83,0.00,56.15,35.03,44.14,14.44,59.98,34.19,34.34,14.39,103.88,34.96,20.08,56.75,59.72,20.56,27.58,20.35,51.31,48.75
Seq_8283,12.88,0.00,19.01,10.96,36.74,23.79,43.41,17.46,46.01,9.80,40.16,24.71,41.69,50.84,50.48,15.77,18.35,12.25,0.00,42.92
Seq_8284,25.01,168.79,90.54,19.37,43.22,28.83,60.19,23.73,21.05,17.85,305.00,48.81,36.68,35.11,39.50,30.39,39.46,23.07,108.75,41.80
Seq_8285,21.75,110.51,48.23,13.93,43.63,15.82,57.45,23.96,20.41,11.27,49.67,58.33,26.48,33.87,30.19,36.62,27.78,27.49,50.40,97.89
Seq_8286,29.01,144.17,41.57,36.93,59.30,35.01,72.29,18.96,18.95,28.89,49.06,20.66,80.67,52.53,44.93,36.31,32.23,47.77,239.99,24.20
Seq_8287,19.16,104.40,28.28,18.55,49.04,26.82,62.83,16.99,37.68,20.97,119.28,60.95,31.44,31.17,20.83,28.59,42.68,22.54,105.88,77.71
Seq_8288,38.18,114.76,31.72,26.17,54.00,32.67,50.33,53.19,15.46,60.54,73.61,33.28,29.92,81.36,34.37,31.22,16.37,28.28,40.96,31.69
Seq_8289,20.52,49.65,19.30,30.62,32.73,13.37,32.61,16.78,17.13,15.62,111.01,25.74,38.22,23.12,35.77,83.80,29.43,26.14,0.00,27.95
Seq_8290,22.24,122.30,30.36,20.33,121.49,27.47,51.33,65.58,21.08,47.61,181.27,51.27,232.73,46.39,31.31,22.19,36.57,20.37,181.86,111.61
Seq_8291,20.11,125.93,32.08,38.84,33.70,32.91,44.75,24.95,27.99,14.99,98.90,79.58,30.78,27.45,30.49,43.92,29.86,31.02,70.53,50.00
Seq_8292,8.45,0.00,118.06,17.63,48.41,17.59,30.20,52.96,23.56,14.46,77.26,82.37,26.75,39.49,28.85,75.30,84.98,16.91,82.08,53.06
Seq_8293,24.52,236.17,27.84,29.67,48.14,30.39,96.07,23.61,32.38,21.24,57.92,37.41,34.82,46.43,48.78,29.87,23.43,21.71,204.13,53.07
Seq_8294,13.22,0.00,29.97,32.86,49.58,21.00,81.61,35.95,18.80,27.16,65.36,25.65,48.13,27.99,43.49,58.10,32.48,12.16,0.00,98.68
Seq_8295,21.88,112.00,22.81,35.90,22.38,25.19,48.60,33.19,27.41,33.13,70.34,41.34,34.28,51.44,38.85,33.45,33.82,18.86,79.29,51.11
Seq_8296,24.74,72.57,41.36,27.79,65.69,21.75,69.26,74.75,57.13,14.10,138.87,95.19,28.34,46.27,28.97,26.88,47.19,23.95,96.33,62.20
Seq_8297,19.62,151.96,23.61,18.10,26.54,28.69,61.92,34.56,36.15,17.93,50.92,39.67,57.73,33.23,34.91,31.27,45.79,34.73,161.30,78.16
Seq_8298,11.83,87.87,17.59,15.57,38.06,26.01,40.71,31.44,59.71,11.46,163.01,71.98,35.46,20.12,46.11,21.99,38.63,45.33,61.26,25.04
Seq_8299,26.76,117.07,22.96,14.01,128.54,11.71,88.91,17.87,15.02,18.29,101.81,41.28,49.12,0.00,19.09,19.86,100.19,11.16,177.01,58.56
Seq_8300,19.73,64.43,44.19,109.93,34.37,16.20,72.07,34.79,64.96,16.50,41.32,50.01,52.74,111.39,72.97,39.64,32.26,18.86,46.58,37.53
Seq_8301,17.74,25.59,20.46,38.53,38.48,19.05,53.66,53.20,49.17,14.00,72.72,40.82,28.97,28.65,48.68,22.58,61.86,46.62,23.89,44.24
Seq_8302,15.07,257.09,19.63,27.78,25.02,17.30,65.84,53.21,47.24,16.88,69.47,60.92,41.89,55.78,19.77,59.65,47.37,25.34,86.42,63.63
Seq_8303,28.66,53.43,23.65,23.53,72.72,22.51,60.07,34.03,29.15,12.11,90.43,80.13,31.38,29.32,34.85,34.32,35.25,28.39,76.45,63.97
Seq_8304,12.77,51.84,34.20,28.02,39.99,11.66,60.88,69.01,37.27,12.99,138.01,61.14,11.78,71.61,27.18,46.36,30.77,11.06,40.07,79.44
Seq_8305,23.89,80.30,24.01,25.78,37.23,32.51,64.63,24.48,38.37,17.06,58.91,45.29,30.58,45.37,34.03,24.82,30.45,24.35,132.87,57.59
Seq_8306,12.16,89.84,37.03,38.86,32.11,34.88,106.81,31.11,27.04,29.75,87.72,37.03,33.40,41.11,40.18,39.73,19.45,36.89,53.81,84.47
Seq_8307,23.91,481.06,21.21,25.66,52.45,18.25,49.58,49.72,22.28,35.37,104.65,35.11,43.47,53.34,34.21,22.96,28.02,32.98,52.99,28.45
Seq_8308,51.35,92.97,14.46,16.11,47.24,33.34,45.37,35.54,23.08,20.11,36.16,41.94,29.12,58.72,17.99,62.76,48.51,37.50,36.06,17.29
Seq_8309,27.69,69.88,27.57,38.50,25.95,14.90,33.45,21.70,23.94,29.39,32.58,30.52,22.96,28.93,37.04,37.54,16.08,54.77,65.43,53.23
Seq_8310,23.27,128.10,34.95,15.70,41.41,18.98,64.28,22.62,21.79,21.10,83.29,53.62,39.31,31.76,46.17,32.75,42.74,26.12,92.37,27.37
Seq_8311,31.35,164.63,30.01,23.17,26.99,20.04,116.39,18.08,20.65,24.58,43.69,25.95,46.90,153.42,37.73,17.86,48.25,27.81,85.72,46.48
Seq_8312,12.78,24.81,62.46,13.52,41.67,14.73,33.96,15.16,21.46,17.63,46.68,22.06,22.21,23.16,18.78,55.82,25.56,16.99,0.00,21.76
Seq_8313,23.99,107.47,28.06,20.83,56.51,19.88,92.64,25.66,38.87,12.14,51.37,25.75,37.63,35.33,13.18,61.45,28.42,32.97,66.36,41.70
